x,y,time,Room
195,38,1,Zebra
196,39,1,Zebra
197,40,1,Zebra
198,41,1,Zebra
199,42,2,Zebra
200,43,2,Zebra
201,44,2,Zebra
202,45,3,Zebra
203,46,3,Zebra
204,47,3,Zebra
205,48,4,Zebra
206,49,4,Zebra
207,50,4,Zebra
208,51,5,Zebra
209,52,5,Zebra
210,53,5,Zebra
211,54,6,Zebra
212,55,6,Zebra
213,56,6,Zebra
214,57,7,Zebra
215,58,7,Zebra
216,59,7,Zebra
229,73,8,Zebra
217,60,8,Zebra
218,61,8,Zebra
219,62,9,Zebra
220,63,9,Zebra
221,64,9,Zebra
222,65,10,Zebra
223,66,10,Zebra
224,67,10,Zebra
197,39,11,Zebra
198,40,11,Zebra
199,41,11,Zebra
200,42,12,Zebra
201,43,12,Zebra
202,44,12,Zebra
225,68,13,Zebra
226,69,13,Zebra
227,70,13,Zebra
228,71,14,Zebra
229,72,14,Zebra
203,45,14,Zebra
204,46,15,Zebra
205,47,15,Zebra
206,48,15,Zebra
207,49,16,Zebra
208,50,16,Zebra
209,51,16,Zebra
210,52,17,Zebra
211,53,17,Zebra
212,54,17,Zebra
213,55,18,Zebra
214,56,18,Zebra
215,57,18,Zebra
216,58,19,Zebra
217,59,19,Zebra
218,60,19,Zebra
219,61,20,Zebra
220,62,20,Zebra
221,63,20,Zebra
222,64,21,Zebra
223,65,21,Zebra
224,66,21,Zebra
225,67,22,Zebra
226,68,22,Zebra
227,69,22,Zebra
228,70,23,Zebra
229,71,23,Zebra
197,41,23,Zebra
198,42,24,Zebra
198,43,24,Zebra
199,44,24,Zebra
199,45,25,Zebra
200,46,25,Zebra
200,47,25,Zebra
201,48,26,Zebra
201,49,26,Zebra
202,50,26,Zebra
202,51,27,Zebra
203,52,27,Zebra
203,53,27,Zebra
204,54,28,Zebra
204,55,28,Zebra
205,56,28,Zebra
205,57,29,Zebra
206,58,29,Zebra
206,59,29,Zebra
207,73,30,Zebra
207,60,30,Zebra
208,61,30,Zebra
208,62,31,Zebra
209,63,31,Zebra
209,64,31,Zebra
210,65,32,Zebra
210,66,32,Zebra
211,67,32,Zebra
211,39,33,Zebra
212,40,33,Zebra
212,41,33,Zebra
213,42,34,Zebra
213,43,34,Zebra
214,44,34,Zebra
214,68,35,Zebra
215,69,35,Zebra
215,70,35,Zebra
216,71,36,Zebra
216,72,36,Zebra
217,45,36,Zebra
217,46,37,Zebra
218,47,37,Zebra
218,48,37,Zebra
219,38,38,Zebra
219,39,38,Zebra
220,40,38,Zebra
220,41,39,Zebra
221,42,39,Zebra
221,43,39,Zebra
222,44,40,Zebra
222,45,40,Zebra
223,46,40,Zebra
223,47,41,Zebra
224,48,41,Zebra
224,49,41,Zebra
225,50,42,Zebra
225,51,42,Zebra
226,52,42,Zebra
226,53,43,Zebra
227,54,43,Zebra
227,55,43,Zebra
228,56,44,Zebra
228,57,44,Zebra
229,58,44,Zebra
229,59,45,Zebra
195,60,45,Zebra
196,61,45,Zebra
197,62,46,Zebra
197,63,46,Zebra
198,64,46,Zebra
198,65,47,Zebra
199,66,47,Zebra
199,67,47,Zebra
200,39,48,Zebra
200,40,48,Zebra
201,41,48,Zebra
201,42,49,Zebra
202,43,49,Zebra
203,68,49,Zebra
203,69,50,Zebra
204,70,50,Zebra
204,71,50,Zebra
205,72,51,Zebra
205,45,51,Zebra
206,46,51,Zebra
206,47,52,Zebra
207,48,52,Zebra
207,38,52,Zebra
208,39,53,Zebra
208,40,53,Zebra
209,41,53,Zebra
209,42,54,Zebra
210,43,54,Zebra
210,44,54,Zebra
211,45,55,Zebra
211,38,55,Zebra
212,39,55,Zebra
213,41,56,Zebra
214,43,56,Zebra
215,45,56,Zebra
215,46,57,Zebra
216,47,57,Zebra
216,48,57,Zebra
217,49,58,Zebra
217,50,58,Zebra
218,51,58,Zebra
218,52,59,Zebra
219,53,59,Zebra
219,54,59,Zebra
220,55,60,Zebra
220,56,60,Zebra
221,57,60,Zebra
221,58,61,Zebra
222,59,61,Zebra
222,73,61,Zebra
223,60,62,Zebra
223,61,62,Zebra
224,62,62,Zebra
224,63,63,Zebra
225,64,63,Zebra
225,65,63,Zebra
226,66,64,Zebra
226,67,64,Zebra
227,39,64,Zebra
227,40,65,Zebra
228,41,65,Zebra
228,42,65,Zebra
229,43,66,Zebra
229,44,66,Zebra
229,68,66,Zebra
195,69,67,Zebra
196,70,67,Zebra
197,71,67,Zebra
197,72,68,Zebra
198,45,68,Zebra
198,46,68,Zebra
199,47,69,Zebra
199,48,69,Zebra
200,49,69,Zebra
200,50,70,Zebra
201,51,70,Zebra
201,52,70,Zebra
202,53,71,Zebra
202,54,71,Zebra
203,55,71,Zebra
203,56,72,Zebra
204,57,72,Zebra
204,58,72,Zebra
205,59,73,Zebra
205,60,73,Zebra
206,61,73,Zebra
206,62,74,Zebra
207,63,74,Zebra
207,64,74,Zebra
208,65,75,Zebra
208,66,75,Zebra
209,67,75,Zebra
209,68,76,Zebra
210,69,76,Zebra
210,70,76,Zebra
211,71,77,Zebra
200,38,77,Zebra
201,40,77,Zebra
202,42,78,Zebra
203,44,78,Zebra
205,49,78,Zebra
206,50,79,Zebra
206,51,79,Zebra
207,52,79,Zebra
207,53,80,Zebra
208,54,80,Zebra
208,55,80,Zebra
209,56,81,Zebra
209,57,81,Zebra
210,58,81,Zebra
210,59,82,Zebra
211,73,82,Zebra
211,60,82,Zebra
212,61,83,Zebra
212,62,83,Zebra
213,63,83,Zebra
213,64,84,Zebra
214,65,84,Zebra
214,66,84,Zebra
215,67,85,Zebra
215,39,85,Zebra
216,40,85,Zebra
216,41,86,Zebra
217,42,86,Zebra
217,43,86,Zebra
218,44,87,Zebra
218,68,87,Zebra
219,69,87,Zebra
219,70,88,Zebra
220,71,88,Zebra
220,72,88,Zebra
221,45,89,Zebra
221,46,89,Zebra
222,47,89,Zebra
222,48,90,Zebra
223,38,90,Zebra
223,39,90,Zebra
224,40,91,Zebra
224,41,91,Zebra
225,42,91,Zebra
225,43,92,Zebra
226,44,92,Zebra
226,45,92,Zebra
227,38,93,Zebra
228,40,93,Zebra
229,42,93,Zebra
209,45,94,Zebra
210,46,94,Zebra
210,47,94,Zebra
211,48,95,Zebra
201,50,95,Zebra
205,53,95,Zebra
206,54,96,Zebra
206,55,96,Zebra
195,56,96,Zebra
196,57,97,Zebra
197,58,97,Zebra
198,59,97,Zebra
199,73,98,Zebra
200,60,98,Zebra
201,61,98,Zebra
202,62,99,Zebra
203,63,99,Zebra
204,64,99,Zebra
205,65,100,Zebra
206,66,100,Zebra
207,67,100,Zebra
209,40,101,Zebra
210,41,101,Zebra
211,42,101,Zebra
212,43,102,Zebra
213,44,102,Zebra
214,63,102,Zebra
226,63,103,Zebra
216,63,103,Zebra
218,63,103,Zebra
220,63,104,Zebra
222,63,104,Zebra
224,63,104,Zebra
226,65,105,Zebra
216,65,105,Zebra
218,65,105,Zebra
220,65,106,Zebra
222,65,106,Zebra
224,65,106,Zebra
235,98,130,hallway - flashover
229,90,130,hallway - flashover
237,90,130,hallway - flashover
230,90,130,hallway - flashover
231,90,130,hallway - flashover
232,90,130,hallway - flashover
233,90,130,hallway - flashover
234,90,130,hallway - flashover
236,90,130,hallway - flashover
229,85,130,hallway - flashover
237,85,130,hallway - flashover
230,85,130,hallway - flashover
231,85,130,hallway - flashover
232,85,130,hallway - flashover
233,85,130,hallway - flashover
234,85,130,hallway - flashover
236,85,130,hallway - flashover
237,80,130,hallway - flashover
230,80,130,hallway - flashover
231,80,130,hallway - flashover
232,80,130,hallway - flashover
233,80,130,hallway - flashover
234,80,130,hallway - flashover
236,80,130,hallway - flashover
229,75,130,hallway - flashover
237,75,130,hallway - flashover
230,75,130,hallway - flashover
231,75,130,hallway - flashover
232,75,130,hallway - flashover
233,75,130,hallway - flashover
234,75,130,hallway - flashover
236,75,130,hallway - flashover
235,226,132,hallway - flashover
235,220,132,hallway - flashover
229,220,132,hallway - flashover
237,220,132,hallway - flashover
230,220,132,hallway - flashover
231,220,132,hallway - flashover
232,220,132,hallway - flashover
233,220,132,hallway - flashover
234,220,132,hallway - flashover
236,215,132,hallway - flashover
229,215,132,hallway - flashover
237,215,132,hallway - flashover
230,215,132,hallway - flashover
231,215,132,hallway - flashover
232,215,132,hallway - flashover
233,215,132,hallway - flashover
234,210,132,hallway - flashover
236,210,132,hallway - flashover
237,210,132,hallway - flashover
230,210,132,hallway - flashover
231,210,132,hallway - flashover
232,210,132,hallway - flashover
233,210,132,hallway - flashover
234,205,132,hallway - flashover
236,205,132,hallway - flashover
229,205,132,hallway - flashover
237,205,132,hallway - flashover
230,205,132,hallway - flashover
231,205,132,hallway - flashover
232,205,132,hallway - flashover
233,205,132,hallway - flashover
234,205,132,hallway - flashover
236,205,132,hallway - flashover
235,200,131,hallway - flashover
235,200,131,hallway - flashover
229,200,131,hallway - flashover
237,200,131,hallway - flashover
230,200,131,hallway - flashover
231,200,131,hallway - flashover
232,190,131,hallway - flashover
233,190,131,hallway - flashover
234,190,131,hallway - flashover
236,190,131,hallway - flashover
229,190,131,hallway - flashover
237,190,131,hallway - flashover
230,190,131,hallway - flashover
231,190,131,hallway - flashover
232,190,131,hallway - flashover
233,180,131,hallway - flashover
234,180,131,hallway - flashover
236,180,131,hallway - flashover
237,180,131,hallway - flashover
230,180,131,hallway - flashover
231,180,131,hallway - flashover
232,180,131,hallway - flashover
233,180,131,hallway - flashover
234,180,131,hallway - flashover
236,180,131,hallway - flashover
229,170,131,hallway - flashover
237,170,131,hallway - flashover
230,170,131,hallway - flashover
231,170,131,hallway - flashover
232,170,131,hallway - flashover
233,170,131,hallway - flashover
234,170,131,hallway - flashover
236,170,131,hallway - flashover
236,160,131,hallway - flashover
237,160,131,hallway - flashover
230,160,131,hallway - flashover
231,160,131,hallway - flashover
232,160,131,hallway - flashover
233,160,131,hallway - flashover
234,150,131,hallway - flashover
236,150,131,hallway - flashover
229,150,131,hallway - flashover
237,150,131,hallway - flashover
230,150,131,hallway - flashover
231,150,131,hallway - flashover
232,150,131,hallway - flashover
233,150,131,hallway - flashover
234,140,131,hallway - flashover
236,140,131,hallway - flashover
232,140,131,hallway - flashover
233,140,131,hallway - flashover
