x,y,age,sex,prior_visit,behavior_type,group_number,group_type,group_leader,initial_energy,ID,role,exit,prompt,table,party,turned back x,turned back y,starting room,ids employees y/n,employee location x1,employee location y1,took,note
275,119,,,FALSE,,,,,100,a22,patron,M,,,,,,Viennese Room,no,,,,
253,49,,male,FALSE,,10,4,,100,a28,patron,M,,,,,,Viennese Room,,,,,
255,74,,male,FALSE,,10,4,,100,a29,patron,M,,,,,,Viennese Room,,,,,
264,70,,male,FALSE,,b162,4,,100,b162,patron,K,,,,222.5,85.5,Viennese Room,,,,,
253,62,,female,FALSE,,c68,4,,100,c68,patron,GC,,,,197,83,Viennese Room,,,,,
273,43,,female,FALSE,,57,4,,100,d54,patron,G1,,,,,,Viennese Room,,,,,
241,127,,female,FALSE,,57,4,,100,d55,patron,G1,,,,,,Viennese Room,,,,,
269,91,,female,FALSE,,72,4,,100,e40,patron,M,,,,,,Viennese Room,,,,,
265,123,,female,FALSE,,72,4,,100,e41,patron,M,,,,,,Viennese Room,,,,,
248,82,,,FALSE,,,,,100,f76,patron,GC,,,,,,Viennese Room,,,,,
273,115,,female,FALSE,,128,4,,100,l52,patron,M,,,,,,Viennese Room,,,,,
251,95,,female,FALSE,,137,4,,100,l53,patron,M,,,,,,Viennese Room,,,,,
253,81,,,TRUE,,,,,100,m55,tipped staff,G1,,,,,,Viennese Room,,,,,
256,101,,,FALSE,,202,4,,100,r94,patron,M,,,,,,Viennese Room,,,,,
249,67,,,FALSE,,202,4,,100,r95,patron,M,,,,,,Viennese Room,,,,,
248,81,,female,FALSE,,189,4,,100,r109,patron,,,,,,,Viennese Room,,,,,
242,125,,male,FALSE,,189,4,,100,r110,patron,,,,,,,Viennese Room,,,,,
277,124,,,FALSE,,,,,100,s232,patron,K,,,,,,Viennese Room,,,,,
242,110,,male,FALSE,,243,4,,100,w42,patron,M,,,,,,Viennese Room,,,,,
257,106,,,FALSE,,243,4,,100,w42-a,patron,n/a,,,,,,Viennese Room,,,,,
255,95,,,FALSE,,243,4,,100,w42-b,patron,n/a,,,,,,Viennese Room,,,,,
267,94,,,TRUE,,246,4,,100,w56,tipped staff,M,,,,,,Viennese Room,,,,,
246,63,,,TRUE,,246,4,,100,w56-a,tipped staff,M,,,,,,Viennese Room,,,,,
247,61,,female,FALSE,,y16,4,,100,y16,patron,M,,,,,,Viennese Room,,,,,
277,52,,,FALSE,,260,4,,100,z13,patron,M,,,,,,Viennese Room,,,,,
250,58,,,FALSE,,260,4,,100,z13? [cut off],patron,M,,,,,,Viennese Room,,,,,
278,74,,male,FALSE,,259,4,,100,z12,patron,M,told,,,,,Viennese Room,,,,,
256,115,,,FALSE,,259,4,,100,z12-a,patron,M,,,,,,Viennese Room,,,,,
260,312,,,FALSE,,dayton aaa,2,,100,a50,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
257,291,,,FALSE,,dayton aaa,2,,100,c88,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
265,211,,,FALSE,,,,,100,d67,patron,C,,,,,,cabaret room,,,,,
249,288,,,FALSE,,,,,100,d78,patron,C,,,,,,cabaret room,,,,,
280,196,,female,FALSE,,dayton aaa,2,,100,d93,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
263,257,,,FALSE,,65,4,,100,e22,patron,C,,,,,,cabaret room,,,,,
263,299,,,FALSE,,66,4,,100,e23,patron,C,,,,,,cabaret room,,,,,
279,288,,male,FALSE,,84,4,,100,f85,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
264,207,,female,FALSE,,85,4,,100,f86,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
280,253,,,FALSE,,,,,100,g87-a,patron,S,,,,,,cabaret room,,,,,
283,244,,female,FALSE,,dayton aaa,2,,100,g88,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
248,196,,female,FALSE,,dayton aaa,2,,100,g89,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
258,221,,female,FALSE,,dayton aaa,2,,100,g91,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
271,306,,,TRUE,,,,,100,h113,tipped staff,C,,,,,,cabaret room,,,,,
259,310,,,FALSE,,,,,100,k80,patron,C,,,,,,cabaret room,,,,,
247,206,,female,FALSE,,dayton aaa,2,,100,k84,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
279,284,,,FALSE,,142,4,,100,l79,patron,C,,,,,,cabaret room,,,,,
257,199,,,FALSE,,142,4,,100,l79-a,patron,C,,,,,,cabaret room,,,,,
278,199,,,FALSE,,142,4,,100,l79-b,patron,C,,,,,,cabaret room,,,,,
272,259.5,,,FALSE,,127,4,,100,l? [faded],patron,C,,,,,,cabaret room,,,,,
266,264,,,FALSE,,144,4,,100,l82? [faded],patron,C,,,,,,cabaret room,,,,,
268,243,,,FALSE,,,,,100,m61,patron,C,,,,,,cabaret room,,,,,
262,248,,,FALSE,,174,4,,100,o11,patron,C,,,,,,cabaret room,,,,,
275,263,,,FALSE,,174,4,,100,o12,patron,C,,,,,,cabaret room,,,,,
277,225,,,FALSE,,,,,100,s163,patron,C,,,,,,cabaret room,,,,,
248,217,,female,FALSE,,dayton aaa,2,,100,s258,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
264,280,,male,FALSE,,dayton aaa,2,,100,w111,patron,,,dayton aaa table ,dayton aaa,,,cabaret room,,,,,
247,242,,,FALSE,,,,,100,y15,patron,C,,,,,,cabaret room,,,,,
253,206,,,FALSE,,,,,100,b79,patron,C,,,,,,cabaret room,,,,,
255,219,,male,FALSE,,,,,100,b80,patron,GC,,,,,,cabaret room,,,,,
262,313,,male,FALSE,,,,,100,b83,patron,GC,,,,,,cabaret room,,,,,
273,238,,,FALSE,,,,,100,c33,patron,GC,,,,,,cabaret room,,,,,
267,263,,male,FALSE,,,,,100,d36,patron,GC,,,,,,cabaret room,,,,,
254,302,,,FALSE,,64,4,,100,e15,patron,C,,,,,,cabaret room,,,,,
273,287,,,FALSE,,67,4,,100,e25,patron,C,,,,,,cabaret room,,,,,
247,212,,female,FALSE,,,,,100,e16,patron,GC,,,,,,cabaret room,,,,,
247,254,,female,FALSE,,,,,100,e17,patron,GC,,,,,,cabaret room,,,,,
249,283,,,FALSE,,,,,100,e18,patron,GC,,,,,,cabaret room,,,,,
276,303,,,FALSE,,70,4,,100,e35,patron,C,,,,,,cabaret room,,,,,
246,212,,,FALSE,,71,4,,100,e36,patron,C,,,,,,cabaret room,,,,,
250,242,,female,FALSE,,,,,100,f35,patron,GC,,,,,,cabaret room,,,,,
264,273,,female,FALSE,,,,,100,f36,patron,GC,,,,,,cabaret room,,,,,
253,298,,male,FALSE,,,,,100,h68,patron,GC,,,,,,cabaret room,,,,,
260,311,,male,FALSE,,,,,100,h69,patron,GC,,,,,,cabaret room,,,,,
278,282,,female,FALSE,,128,4,,100,l23,patron,GC,,,,,,cabaret room,,,,,
251,204,,,FALSE,,128,4,,100,l59,patron,GC,,,,,,cabaret room,,,,,
256,222,,female,FALSE,,,,,100,l24,patron,S,,,,,,cabaret room,,,,,
257,279,,female,FALSE,,,,,100,l25,patron,GC,,,,,,cabaret room,,,,,
267,313,,,TRUE,,156,4,,100,m38,tipped staff,GC,,,,,,cabaret room,,,,,
248,291,,,TRUE,,156,4,,100,m39,tipped staff,GC,,,,,,cabaret room,,,,,
274,230,,female,FALSE,,,,,100,n53,patron,GC,,,,,,cabaret room,,,,,
273,253,,male,FALSE,,,,,100,p20,patron,GC,,,,,,cabaret room,,,,,
276,295,,male,FALSE,,175,4,,100,p21,patron,GC,,,,,,cabaret room,,,,,
259,236,,,FALSE,,175,4,,100,p58,patron,GC,,,,,,cabaret room,,,,,
260,231,,,FALSE,,,,,100,r28,patron,C,,,,-40,504,cabaret room,,,,,
273,313,,female,FALSE,,191,4,,100,r30,patron,K,,,,,,cabaret room,,,,,
278,244,,,TRUE,,191,4,,100,r114,tipped staff,GC,,,,,,cabaret room,,,,,
258,298,,male,FALSE,,203,4,,100,s104,patron,GC,,,,,,cabaret room,,,,,
257,303,,male,FALSE,,203,4,,100,s105,patron,GC,,,,,,cabaret room,,,,,
274,253,,male,FALSE,,,,,100,t14,patron,GC,,,,,,cabaret room,,,,,
275,221,,male,FALSE,,228,4,,100,t15,patron,GC,,,,,,cabaret room,,,,,
279,287,,male,FALSE,,228,4,,100,t16,patron,GC,,,,,,cabaret room,,,,,
256,281,,,FALSE,,,,,100,t17,patron,GC,,,,,,cabaret room,,,,,
282,225,,,FALSE,,,,,100,w31,patron,GC,,,,,,cabaret room,,,,,
265,251,,male,FALSE,,,,,100,w32,patron,GC,,,,,,cabaret room,,,,,
123,392,,,FALSE,,,,,100,w10? [cut off],patron,M,,,,,,Crystal Room 6,,,,,
192,401,,female,FALSE,,,,,100,w41,patron,K,,,,-40,504,Crystal Room 4,,,,,
165,399,,female,FALSE,,,,,100,t37,patron,M,,,,,,Crystal Room 5,,,,,
142,391,,female,FALSE,,222,4,,100,s225,patron,K,,,,,,Crystal Room 6,,,,,
131,394,,,FALSE,,222,4,,100,s225-a,patron,M,,,,,,Crystal Room 6,,,,,
134,397,,,FALSE,,222,4,,100,s225-b,patron,M,,,,,,Crystal Room 6,,,,,
208,399,,female,FALSE,,187,4,,100,r105,patron,K,,,,,,Crystal Room 4,,,,,
198,404,,female,FALSE,,187,4,,100,r106,patron,K,,,,,,Crystal Room 4,,,,,
143,393,,female,FALSE,,,,,100,r49,patron,M,,,,,,Crystal Room 6,,,,,
204,402,,male,FALSE,,,,,100,r83,patron,M,,,,,,2nd floor stair bar,,,,,
126,395,,female,FALSE,,195,4,,100,r47,patron,M,,,,,,Crystal Room 6,,,,,
