Type,x1,y1,x2,y2
Exit,13,20,14,20
Exit,13,20,12,20
Exit,5,0,4,0
Exit,5,0,6,0
Wall,3,16,2,16
Wall,3,16,4,16
Wall,13,17,14,17
Wall,13,17,13,16
Wall,17,0,16,0
Wall,17,0,18,0
Wall,11,0,12,0
Wall,11,0,10,0
Wall,13,16,14,16
Wall,13,16,13,17
Wall,18,0,17,0
Wall,18,0,19,0
Wall,9,2,9,3
Wall,9,2,9,1
Wall,15,20,14,20
Wall,15,20,16,20
Wall,6,2,6,3
Wall,6,2,6,1
Wall,20,10,20,9
Wall,20,10,20,11
Wall,20,1,20,2
Wall,20,1,20,0
Wall,20,18,20,19
Wall,20,18,20,17
Wall,6,1,6,0
Wall,6,1,6,2
Wall,3,3,2,3
Wall,3,3,4,3
Wall,20,12,20,13
Wall,20,12,20,11
Wall,9,17,9,18
Wall,9,17,9,16
Wall,0,9,0,8
Wall,0,9,0,10
Wall,20,9,20,8
Wall,20,9,20,10
Wall,17,20,16,20
Wall,17,20,18,20
Wall,18,20,19,20
Wall,18,20,17,20
Wall,20,2,20,3
Wall,20,2,20,1
Wall,4,3,3,3
Wall,4,3,4,2
Wall,20,14,20,15
Wall,20,14,20,13
Wall,9,5,9,4
Wall,9,5,8,5
Wall,9,5,10,5
Wall,4,16,3,16
Wall,4,16,5,16
Wall,14,5,15,5
Wall,8,5,9,5
Wall,8,5,7,5
Wall,1,3,0,3
Wall,1,3,2,3
Wall,9,3,9,4
Wall,9,3,9,2
Wall,19,0,20,0
Wall,19,0,18,0
Wall,6,5,6,4
Wall,6,5,7,5
Wall,0,11,0,10
Wall,0,11,0,12
Wall,2,16,3,16
Wall,2,16,1,16
Wall,8,16,9,16
Wall,8,16,7,16
Wall,0,6,0,5
Wall,0,6,0,7
Wall,14,16,13,16
Wall,14,16,14,17
Wall,2,3,3,3
Wall,2,3,1,3
Wall,16,20,15,20
Wall,16,20,17,20
Wall,9,16,8,16
Wall,9,16,9,17
Wall,9,19,9,18
Wall,9,19,9,20
Wall,20,11,20,12
Wall,20,11,20,10
Wall,20,17,20,18
Wall,20,17,20,16
Wall,15,2,15,3
Wall,15,2,15,1
Wall,6,16,5,16
Wall,6,16,7,16
Wall,15,5,16,5
Wall,15,5,15,4
Wall,15,5,14,5
Wall,0,7,0,8
Wall,0,7,0,6
Wall,0,3,1,3
Wall,0,3,0,4
Wall,20,16,20,17
Wall,20,16,20,15
Wall,14,17,13,17
Wall,14,17,14,16
Wall,9,20,10,20
Wall,9,20,9,19
Wall,20,7,20,8
Wall,20,7,20,6
Wall,14,0,13,0
Wall,14,0,15,0
Wall,10,20,11,20
Wall,10,20,9,20
Wall,7,16,6,16
Wall,7,16,8,16
Wall,0,5,0,4
Wall,0,5,0,6
Wall,1,16,0,16
Wall,1,16,2,16
Wall,20,8,20,7
Wall,20,8,20,9
Wall,5,16,4,16
Wall,5,16,6,16
Wall,11,20,12,20
Wall,11,20,10,20
Wall,0,15,0,16
Wall,0,15,0,14
Wall,20,5,20,6
Wall,20,5,20,4
Wall,14,20,15,20
Wall,10,0,9,0
Wall,10,0,11,0
Wall,16,5,15,5
Wall,16,5,17,5
Wall,12,20,11,20
Wall,20,20,20,19
Wall,20,20,19,20
Wall,12,0,13,0
Wall,12,0,11,0
Wall,15,3,15,2
Wall,15,3,15,4
Wall,20,4,20,5
Wall,20,4,20,3
Wall,20,19,20,18
Wall,20,19,20,20
Wall,10,5,9,5
Wall,13,0,12,0
Wall,13,0,14,0
Wall,9,1,9,2
Wall,9,1,9,0
Wall,17,5,16,5
Wall,4,0,4,1
Wall,4,2,4,3
Wall,4,2,4,1
Wall,9,0,10,0
Wall,9,0,9,1
Wall,16,0,15,0
Wall,16,0,17,0
Wall,15,4,15,3
Wall,15,4,15,5
Wall,6,3,6,2
Wall,6,3,6,4
Wall,15,1,15,0
Wall,15,1,15,2
Wall,0,8,0,7
Wall,0,8,0,9
Wall,20,6,20,5
Wall,20,6,20,7
Wall,0,13,0,14
Wall,0,13,0,12
Wall,0,12,0,11
Wall,0,12,0,13
Wall,9,18,9,19
Wall,9,18,9,17
Wall,6,0,6,1
Wall,20,13,20,14
Wall,20,13,20,12
Wall,20,0,19,0
Wall,20,0,20,1
Wall,19,20,18,20
Wall,19,20,20,20
Wall,7,5,6,5
Wall,7,5,8,5
Wall,15,0,15,1
Wall,15,0,16,0
Wall,15,0,14,0
Wall,0,4,0,5
Wall,0,4,0,3
Wall,4,1,4,0
Wall,4,1,4,2
Wall,0,14,0,13
Wall,0,14,0,15
Wall,0,10,0,9
Wall,0,10,0,11
Wall,20,3,20,2
Wall,20,3,20,4
Wall,6,4,6,3
Wall,6,4,6,5
Wall,0,16,1,16
Wall,0,16,0,15
Wall,20,15,20,16
Wall,20,15,20,14
Wall,9,4,9,5
Wall,9,4,9,3
