Type,x1,y1,x2,y2
Exit,20,1,20,2
Exit,20,1,20,0
Exit,0,1,0,0
Exit,0,1,0,2
Wall,6,5,6,4
Wall,6,5,7,5
Wall,4,12,4,11
Wall,4,12,4,13
Wall,19,20,20,20
Wall,19,20,18,20
Wall,14,11,14,12
Wall,14,11,14,10
Wall,10,18,10,17
Wall,10,18,10,19
Wall,16,13,16,12
Wall,16,13,16,14
Wall,0,11,0,12
Wall,0,11,0,10
Wall,16,11,16,10
Wall,16,11,16,12
Wall,16,4,16,3
Wall,16,4,16,5
Wall,19,0,18,0
Wall,19,0,20,0
Wall,16,14,16,13
Wall,16,14,17,14
Wall,2,2,3,2
Wall,2,2,1,2
Wall,14,14,13,14
Wall,14,14,14,13
Wall,6,8,6,7
Wall,6,8,6,9
Wall,12,20,13,20
Wall,12,20,11,20
Wall,9,0,10,0
Wall,9,0,8,0
Wall,2,8,3,8
Wall,2,8,1,8
Wall,20,8,20,7
Wall,20,8,20,9
Wall,20,8,19,8
Wall,4,8,3,8
Wall,20,19,20,20
Wall,20,19,20,18
Wall,10,0,9,0
Wall,10,0,11,0
Wall,10,0,10,1
Wall,10,19,10,18
Wall,10,19,10,20
Wall,20,4,20,3
Wall,20,4,20,5
Wall,4,0,3,0
Wall,4,0,5,0
Wall,9,20,8,20
Wall,9,20,10,20
Wall,13,20,14,20
Wall,13,20,12,20
Wall,10,4,10,5
Wall,10,4,10,3
Wall,3,8,2,8
Wall,3,8,4,8
Wall,0,5,0,4
Wall,0,5,0,6
Wall,20,9,20,8
Wall,20,9,20,10
Wall,4,5,4,4
Wall,4,5,4,6
Wall,12,7,11,7
Wall,12,7,13,7
Wall,6,16,5,16
Wall,6,16,7,16
Wall,9,12,9,11
Wall,9,12,9,13
Wall,11,13,11,14
Wall,11,13,11,12
Wall,0,16,0,17
Wall,0,16,0,15
Wall,6,20,5,20
Wall,6,20,7,20
Wall,8,0,7,0
Wall,8,0,9,0
Wall,0,12,0,13
Wall,0,12,0,11
Wall,0,6,0,5
Wall,0,6,0,7
Wall,20,11,20,10
Wall,20,11,20,12
Wall,14,12,14,11
Wall,14,12,14,13
Wall,20,16,20,15
Wall,20,16,20,17
Wall,0,0,1,0
Wall,5,0,6,0
Wall,5,0,4,0
Wall,15,20,15,19
Wall,15,20,14,20
Wall,15,20,16,20
Wall,15,19,15,18
Wall,15,19,15,20
Wall,16,10,16,11
Wall,6,10,6,11
Wall,6,10,6,9
Wall,3,20,2,20
Wall,3,20,4,20
Wall,6,4,6,5
Wall,6,4,6,3
Wall,20,6,20,5
Wall,20,6,20,7
Wall,7,20,6,20
Wall,7,20,8,20
Wall,18,2,19,2
Wall,18,2,17,2
Wall,20,3,20,4
Wall,20,3,20,2
Wall,0,13,0,14
Wall,0,13,0,12
Wall,1,8,0,8
Wall,1,8,2,8
Wall,19,14,20,14
Wall,19,14,18,14
Wall,1,2,0,2
Wall,1,2,2,2
Wall,11,7,12,7
Wall,11,7,11,8
Wall,20,7,20,6
Wall,20,7,20,8
Wall,19,2,18,2
Wall,19,2,20,2
Wall,6,14,7,14
Wall,6,14,6,13
Wall,10,1,10,2
Wall,10,1,10,0
Wall,4,20,3,20
Wall,4,20,5,20
Wall,4,6,4,5
Wall,4,13,4,12
Wall,4,13,4,14
Wall,8,7,7,7
Wall,8,7,9,7
Wall,13,14,14,14
Wall,13,14,12,14
Wall,12,16,13,16
Wall,0,2,0,3
Wall,0,2,1,2
Wall,10,5,10,4
Wall,9,11,9,12
Wall,8,16,7,16
Wall,9,8,9,7
Wall,9,8,9,9
Wall,11,8,11,9
Wall,11,8,11,7
Wall,7,0,6,0
Wall,7,0,8,0
Wall,6,9,6,10
Wall,6,9,6,8
Wall,14,1,14,2
Wall,14,1,14,0
Wall,3,14,4,14
Wall,3,14,2,14
Wall,5,18,5,17
Wall,5,18,5,19
Wall,0,4,0,3
Wall,0,4,0,5
Wall,0,9,0,10
Wall,0,9,0,8
Wall,4,3,4,4
Wall,4,3,4,2
Wall,14,5,13,5
Wall,14,5,14,4
Wall,14,0,14,1
Wall,14,0,13,0
Wall,14,0,15,0
Wall,0,7,0,8
Wall,0,7,0,6
Wall,14,20,15,20
Wall,14,20,13,20
Wall,14,8,14,7
Wall,14,8,14,9
Wall,0,10,0,9
Wall,0,10,0,11
Wall,6,0,5,0
Wall,6,0,7,0
Wall,6,0,6,1
Wall,7,5,8,5
Wall,7,5,6,5
Wall,0,15,0,16
Wall,0,15,0,14
Wall,16,5,16,6
Wall,16,5,16,4
Wall,16,2,17,2
Wall,16,2,16,3
Wall,9,7,8,7
Wall,9,7,9,8
Wall,12,5,13,5
Wall,20,0,19,0
Wall,14,13,14,14
Wall,14,13,14,12
Wall,1,0,0,0
Wall,1,0,2,0
Wall,5,19,5,18
Wall,5,19,5,20
Wall,14,4,14,3
Wall,14,4,14,5
Wall,0,19,0,18
Wall,0,19,0,20
Wall,13,7,14,7
Wall,13,7,12,7
