x,y,time
27,12,0
30,12,0
30,9,0.05
27,12,0.5
30,12,0.75
30,9,1.1
27,12,1.4
30,11,1.55
30,9,1.75
30,10,2.1
27,11,2.25
30,9,2.5
30,13,2.7
27,12,2.75
30,9,3
31,10,3.25
31,9,3.35
32,11,3.45
30,11,3.5
32,11,3.55
30,11,3.75
32,9,3.75
33,10,3.85
33,11,3.95
33,9,4
29,12,4.15
29,12,4.5
27,15,6
27,14,7
26,15,8
27,13,9
26,14,10
25,15,11
27,12,11
26,13,12
25,14,13
24,15,14
24,14,15
25,13,16
23,15,16
27,11,17
22,15,18
24,13,19
27,10,19
21,15,21
23,14,22
20,15,23
22,14,24
23,13,25
30,8,25
22,13,26
21,14,26
29,8,27
27,9,28
28,8,29
30,7,30
29,7,31
28,7,32
30,6,33
30,5,34
29,6,35
29,5,36
28,6,37
28,5,38
30,4,39
30,4,40
29,4,41
30,3,42
28,4,43
30,3,44
30,2,45
30,2,47
29,3,49
28,3,51
30,1,54
30,1,57
29,2,60
29,1,65
28,2,67
28,1,70
27,8,75
27,7,77
27,6,78
26,12,79
25,12,80
27,5,81
24,12,82
23,12,83
27,4,84
20,14,86
21,13,88
22,12,89
27,3,90
27,2,91
27,1,93
26,1,95
25,1,100
25,2,105
24,1,110
25,1,115
26,3,120
19,16,120
23,1,125
19,17,125
26,4,125
18,17,130
26,5,130
18,20,130
26,10,135
26,7,140
22,1,145
18,16,155
18,15,160
25,3,165
21,1,170
18,14,170
25,4,170
22,2,180
21,2,185
19,1,190
24,2,200
19,2,200
18,1,210
18,3,220
23,3,225
20,3,230
19,13,235
21,12,240
