x,y,time
30,8,1
30,12,1
33,10,61
33,11,61
33,9,61
32,11,70
31,11,70
32,8,70
31,8,70
23,12,82
23,15,82
29,5,82
22,15,82
24,15,82
23,9,82
23,14,82
25,15,82
28,5,83
26,15,83
28,7,83
28,14,83
27,15,83
24,5,83
22,8,83
24,9,83
23,8,83
28,15,83
25,14,83
22,14,84
14,9,84
30,13,84
27,14,84
29,14,84
22,12,84
23,6,84
30,14,84
23,10,84
14,8,84
23,7,84
29,13,84
13,10,84
28,6,84
26,14,84
27,13,84
24,14,84
26,6,84
24,6,84
27,4,84
22,11,84
27,5,84
26,5,84
25,13,84
24,7,84
27,6,84
13,7,84
25,12,85
26,7,85
22,9,85
27,8,85
24,12,85
27,12,85
26,12,85
27,7,85
30,9,85
30,10,85
26,13,85
23,13,85
24,13,85
28,9,85
26,8,85
25,7,85
26,10,85
25,6,85
25,9,85
22,13,85
26,9,85
24,8,85
29,8,85
29,7,85
25,8,85
29,6,85
26,11,86
28,8,86
30,11,86
28,11,86
29,12,86
24,10,86
27,9,86
32,10,86
24,11,86
23,11,86
31,10,86
25,10,86
28,10,86
29,9,86
23,5,86
27,10,86
28,12,86
29,11,86
32,9,86
27,11,86
28,13,86
29,10,86
25,11,86
25,4,87
25,3,87
21,14,87
20,14,87
17,4,87
20,5,87
19,13,87
18,4,87
17,3,87
19,12,87
21,11,87
21,13,87
26,4,87
18,3,88
7,12,88
19,5,88
7,13,88
18,5,88
16,4,88
18,6,89
7,14,89
21,4,89
20,4,89
7,15,89
18,1,89
19,1,89
19,6,89
23,4,89
18,2,89
22,5,89
19,4,89
21,5,89
25,5,89
26,1,90
14,7,90
22,6,90
12,7,90
26,0,90
25,1,90
24,4,90
19,3,90
27,1,90
26,2,90
15,8,90
22,3,90
21,3,90
19,2,90
24,2,90
7,11,90
8,15,90
14,10,90
23,1,90
14,11,90
24,3,90
22,4,90
7,10,90
20,3,90
23,3,91
24,0,91
25,2,91
19,9,91
25,0,91
24,1,91
27,3,91
18,10,91
19,8,91
18,8,91
19,11,91
22,10,91
26,3,91
20,11,91
22,2,91
30,7,91
21,12,91
18,9,91
23,2,91
16,9,91
18,11,91
20,9,91
21,0,91
20,0,91
30,6,91
30,5,91
27,0,91
21,10,91
20,10,91
22,1,91
20,1,91
19,10,91
27,2,91
16,8,91
17,9,91
23,0,91
16,11,92
21,1,92
20,13,92
18,19,92
18,14,92
9,14,92
22,7,92
21,9,92
19,14,92
18,18,92
11,14,92
20,8,92
18,13,92
7,1,92
8,11,92
21,2,92
9,15,92
20,2,92
17,10,92
15,14,93
8,14,93
8,12,93
20,6,93
18,15,93
21,7,93
19,16,93
19,17,93
19,15,93
8,13,93
22,0,93
16,5,93
9,13,94
19,7,94
21,6,94
16,12,94
21,8,94
18,7,94
18,12,94
17,7,95
17,11,95
13,1,95
16,10,95
17,6,95
15,11,95
17,12,95
15,12,95
16,7,95
17,8,95
15,9,96
15,10,96
15,7,96
15,13,96
16,14,99
17,14,99
20,7,100
17,5,100
7,2,102
13,11,103
10,13,103
9,12,103
12,15,103
14,12,103
9,11,103
13,15,103
10,12,103
10,15,103
10,14,103
13,13,104
12,11,104
11,15,104
11,12,104
13,14,104
11,13,104
11,11,104
12,14,104
10,11,104
12,12,104
12,13,104
13,12,104
19,20,110
20,12,110
19,18,110
18,20,110
19,19,110
18,16,110
18,17,110
10,6,123
10,5,123
8,7,123
10,7,123
13,4,124
15,4,125
7,3,126
16,3,129
7,6,129
12,5,137
11,5,137
12,6,137
11,6,137
11,7,137
15,2,145
17,2,145
17,1,145
14,1,154
13,5,244
13,6,244
15,1,245
