x,y,time
7,8,4
8,9,11
7,9,11
8,8,11
7,10,16
8,10,16
7,11,20
7,12,20
7,13,20
10,10,21
13,13,22
12,13,22
12,8,22
13,11,22
13,8,32
12,9,32
13,9,32
13,12,36
10,9,36
10,11,36
9,10,36
10,7,36
8,13,36
10,8,36
8,11,36
8,12,36
10,12,36
11,10,36
12,12,36
12,11,51
13,10,51
10,13,51
12,10,51
10,14,57
10,15,64
14,6,67
11,6,67
13,6,67
10,6,67
12,6,67
11,17,82
11,4,82
11,18,82
11,5,82
11,19,82
11,16,82
11,15,82
15,6,90
15,5,90
9,6,98
8,6,98
5,6,98
7,15,98
9,15,98
6,6,98
8,15,98
7,6,98
13,4,105
5,8,105
18,6,105
12,3,105
8,4,105
7,3,105
17,7,105
18,5,105
18,7,105
6,18,105
15,9,105
16,9,105
7,4,105
8,3,105
16,7,105
5,5,105
9,3,105
6,17,105
12,15,105
9,4,105
9,5,105
17,9,105
9,18,105
19,7,105
15,2,105
5,7,105
8,2,105
11,2,105
13,15,105
17,6,105
13,3,105
15,8,105
8,17,105
15,4,105
9,16,105
11,3,105
13,2,105
7,18,105
7,19,105
17,5,105
12,4,105
15,7,105
6,19,105
9,17,105
7,17,105
8,19,105
12,2,105
7,2,105
8,18,105
15,3,105
19,6,105
13,17,113
13,18,113
14,18,113
12,17,113
14,17,113
14,19,113
12,19,113
9,19,113
13,19,113
12,18,113
5,14,116
2,12,117
19,10,117
2,9,117
1,19,117
1,15,117
18,17,117
3,18,117
3,15,117
18,19,117
16,16,117
18,12,117
2,17,117
3,17,117
1,10,117
5,11,117
17,11,117
3,4,121
1,3,121
1,4,121
3,6,121
3,5,121
1,6,121
18,10,122
3,10,122
19,4,122
1,13,122
19,5,122
18,11,122
16,1,122
16,15,122
3,11,122
15,13,122
17,15,122
18,4,122
3,13,122
15,12,122
17,16,122
2,16,122
3,12,122
2,10,122
17,17,122
18,3,122
2,15,122
2,11,122
17,1,122
5,3,124
18,16,124
2,7,124
2,6,124
1,18,124
2,3,124
2,18,124
2,5,124
5,13,124
2,13,124
5,4,124
1,11,124
15,15,124
1,16,124
5,9,124
4,1,124
18,15,124
17,18,124
5,10,124
2,4,124
7,1,124
5,1,124
8,1,124
18,18,124
19,16,124
17,19,124
5,2,124
1,17,124
1,12,124
1,5,124
1,9,124
3,9,124
1,7,124
5,12,124
3,3,124
9,1,124
12,1,137
15,11,137
15,10,137
3,1,137
4,17,137
4,19,137
3,7,137
13,1,137
4,7,137
4,9,137
5,15,137
4,18,137
4,16,137
11,1,137
9,2,137
2,19,137
2,1,137
3,16,137
3,19,137
4,15,137
6,15,137
17,13,142
19,19,142
19,12,142
15,14,142
17,3,142
19,13,142
19,1,142
1,1,142
18,9,142
19,18,142
17,12,142
18,1,142
18,13,142
19,15,142
14,15,142
16,18,142
16,19,142
16,17,142
15,1,142
19,9,142
19,3,142
19,11,142
19,17,142
17,4,142
17,10,142
