x,y,time
2,19,40
2,18,60
4,19,60
3,19,60
2,17,60
6,19,64
4,15,64
4,17,67
5,17,67
3,15,67
5,18,67
2,15,75
7,17,80
6,17,80
5,15,80
7,19,80
5,16,80
8,19,80
2,16,83
5,14,83
9,19,83
3,17,83
5,19,83
5,12,85
9,18,85
7,16,85
8,17,85
9,17,85
7,15,85
5,13,85
11,17,86
4,11,86
8,15,86
9,15,86
5,11,86
10,17,86
13,17,87
5,10,87
9,13,87
11,19,87
9,14,87
11,18,87
5,9,87
7,11,87
12,17,87
6,11,87
2,11,87
3,11,87
10,12,88
7,12,88
15,19,88
18,19,88
10,13,88
5,8,88
13,16,88
4,7,88
7,13,88
18,15,88
5,7,88
7,10,88
1,11,88
12,19,88
8,13,88
11,13,88
14,17,88
11,14,89
7,7,89
2,1,89
12,13,89
7,9,89
2,5,89
13,19,89
9,7,89
18,18,89
18,17,89
5,5,89
15,17,89
7,8,89
14,19,89
3,7,89
2,6,89
17,19,89
8,7,89
5,6,89
16,19,89
6,7,89
15,18,89
18,16,89
12,15,89
17,15,89
11,15,89
13,15,89
13,13,89
2,7,89
13,11,90
9,6,90
15,16,90
16,17,90
3,4,90
9,9,90
10,5,90
2,3,90
9,11,90
13,10,90
14,11,90
8,5,90
7,3,90
11,11,90
5,4,90
13,12,90
3,5,90
2,2,90
16,15,90
5,3,90
6,5,90
11,1,90
9,5,90
3,3,90
17,17,90
3,1,90
5,1,90
8,9,90
15,15,90
8,1,91
11,2,91
15,13,91
6,1,91
7,5,91
13,9,91
17,5,91
9,3,91
8,3,91
4,1,91
10,9,91
10,1,91
7,4,91
15,14,91
13,5,91
12,1,91
11,9,91
9,2,91
12,9,91
7,1,91
13,4,91
18,6,92
11,7,92
13,7,92
11,5,92
16,1,92
15,12,92
13,1,92
13,8,92
15,9,92
15,7,92
15,10,92
18,1,92
17,1,92
13,3,92
12,3,92
17,4,92
18,7,92
15,3,92
15,11,92
18,2,92
14,1,92
14,5,92
11,3,92
15,4,92
14,7,92
16,11,92
18,3,92
9,1,92
12,5,92
17,7,92
16,3,92
12,7,92
18,5,92
17,3,92
15,1,92
11,6,92
15,5,93
15,6,93
16,7,93
17,11,94
10,11,94
15,8,94
18,11,95
19,11,95
