x,y,age,sex,prior_visit, behavior_type, group_number, group_type, group_leader,initial_energy,x10,y10
13.5,5,21,female,FALSE,3,1,2,0,117,135,50
10.5,2.5,31,male,TRUE,5,1,2,0,91,105,25
10.5,2,31,male,TRUE,7,1,2,0,98,105,20
10.5,1.5,32,male,FALSE,8,1,2,0,114,105,15
10,2,32,male,FALSE,6,1,2,1,121,100,20
14,11.5,36,male,FALSE,7,2,2,0,140,140,115
23.5,7,36,male,FALSE,6,2,2,0,143,235,70
10,1,35,male,FALSE,5,2,2,1,122,100,10
12.5,3.5,37,male,TRUE,6,2,2,0,119,125,35
23.5,9,33,male,FALSE,5,3,5,0,151,235,90
22,9.5,29,female,FALSE,4,3,5,1,99,220,95
22.5,9.5,32,male,FALSE,8,3,5,0,154,225,95
18.5,10.5,33,female,TRUE,3,4,2,0,102,185,105
22.5,11.5,25,male,TRUE,8,4,2,0,145,225,115
14,4.5,34,male,TRUE,7,4,2,0,117,140,45
13.5,4.5,30,male,FALSE,5,4,2,1,105,135,45
18,8.5,24,male,TRUE,6,4,2,0,127,180,85
14,5,35,female,TRUE,3,4,5,0,152,140,50
21.5,14.5,37,male,FALSE,8,5,3,0,143,215,145
24,10,53,female,TRUE,1,5,3,0,98,240,100
16,9.5,38,male,FALSE,5,5,3,1,144,160,95
21,11.5,33,male,TRUE,5,5,5,0,121,210,115
23,11,0,female,TRUE,2,6,3,0,149,230,110
23,11.5,30,male,TRUE,8,6,3,0,141,230,115
20,11.5,39,female,TRUE,3,6,5,1,101,200,115
20,7.5,40,male,TRUE,8,6,5,0,125,200,75
20,14.5,29,female,FALSE,3,7,1,0,145,200,145
20.5,14.5,32,male,FALSE,5,7,1,0,146,205,145
20,13.5,33,female,FALSE,2,7,1,1,151,200,135
24.5,11,33,female,FALSE,2,7,1,0,155,245,110
24.5,7,33,male,FALSE,7,7,3,0,86,245,70
20.5,14,43,male,FALSE,8,7,5,0,98,205,140
20.5,13.5,43,female,FALSE,2,7,5,0,81,205,135
15,9.5,32,female,TRUE,2,8,0,1,118,150,95
25,13,30,male,FALSE,8,9,2,0,133,250,130
25,12.5,32,male,FALSE,6,9,2,1,144,250,122
18.5,8.5,23,female,TRUE,3,10,2,0,108,185,85
12.5,3,27,male,FALSE,8,10,2,1,110,125,30
20,8.5,22,male,TRUE,5,10,2,0,99,200,85
15,7.5,24,female,TRUE,1,11,5,1,92,150,75
16,7.5,24,male,TRUE,5,11,5,0,152,160,75
18.5,6,34,male,FALSE,6,11,5,0,83,185,60
9,1.5,0,male,TRUE,6,12,4,1,142,90,15
9,2.5,0,male,FALSE,7,12,4,0,132,90,25
20.5,8.5,21,male,FALSE,5,13,2,0,155,205,85
20.5,7,24,male,TRUE,8,13,2,1,111,205,70
20.5,9,22,male,FALSE,8,13,2,0,138,205,90
26,10.5,33,female,FALSE,3,14,2,0,137,260,105
25.5,10,40,female,FALSE,1,14,2,0,85,255,100
13.5,2.5,42,male,FALSE,8,14,2,0,137,135,25
25,9.5,38,male,FALSE,6,14,2,0,148,250,95
13,3,45,male,TRUE,6,14,2,1,121,130,30
13.5,3.5,27,female,TRUE,4,14,5,0,116,135,35
13.5,3,27,female,TRUE,4,14,5,0,143,135,30
13,3.5,0,male,TRUE,6,14,5,0,126,130,35
22.5,13,41,female,FALSE,1,15,2,0,134,225,130
22,13,34,male,FALSE,5,15,2,1,83,220,130
19,3.5,32,female,FALSE,3,16,2,1,108,190,35
23.5,11,33,female,FALSE,3,16,2,0,83,235,110
23.5,11.5,29,female,FALSE,2,16,2,0,147,235,115
26.5,4,31,female,TRUE,4,16,2,0,81,265,40
26,3.5,30,male,TRUE,8,16,3,0,102,260,35
26,4,43,female,TRUE,1,16,3,0,90,260,40
23.5,6,31,male,TRUE,5,16,5,0,110,235,60
26.5,11.5,41,male,FALSE,6,17,3,0,132,265,115
25.5,14,37,female,FALSE,2,17,3,1,135,255,140
24,2.9,35,male,FALSE,7,18,3,0,103,240,29
19,3,34,female,TRUE,3,18,3,1,127,190,30
25.5,5.5,34,male,FALSE,7,19,2,0,87,255,55
20,2.75,31,male,TRUE,6,19,2,1,81,200,27.5
25,3,41,male,FALSE,8,19,2,0,125,250,30
21,3.5,32,male,FALSE,6,19,2,0,132,210,35
21,4,31,male,FALSE,7,19,2,0,86,210,40
9.5,2,28,male,TRUE,8,20,2,1,105,95,20
15,6,0,male,FALSE,8,21,0,1,112,150,60
17,9.5,35,male,TRUE,7,22,4,0,121,170,95
12.5,1.5,38,male,TRUE,8,22,5,0,91,125,15
11,1.5,38,male,TRUE,6,22,5,1,134,110,15
11,2,44,female,TRUE,3,22,5,0,90,110,20
7,5,0,female,TRUE,3,22,5,0,115,70,50
24,10.5,21,male,FALSE,5,23,2,1,86,240,105
25,8.5,21,male,FALSE,7,23,2,0,134,250,85
22,8.5,35,female,FALSE,3,24,4,0,135,220,85
22,6.5,37,male,TRUE,8,24,4,1,88,220,65
14,7,29,female,FALSE,4,25,5,1,106,140,70
14.5,12,41,male,TRUE,5,25,5,0,101,145,120
26,8,39,male,FALSE,5,27,5,0,98,260,80
22,12,41,male,TRUE,7,27,5,0,154,220,120
22,11.5,40,female,TRUE,4,27,5,1,152,220,115
23,8.5,31,female,FALSE,3,28,3,1,115,230,85
23,9,23,male,TRUE,5,28,3,0,108,230,90
21.5,12,44,male,TRUE,7,29,2,0,95,215,120
15,18,34,male,FALSE,6,29,2,1,106,150,180
18,15,37,male,TRUE,5,29,2,0,80,180,150
20,12,0,female,TRUE,2,29,2,0,102,200,120
15,6.5,31,male,FALSE,7,30,0,1,115,150,65
14.1,9,38,female,TRUE,3,32,1,0,134,141,90
23.5,5.5,43,male,TRUE,6,32,1,0,123,235,55
23.5,8.5,27,male,FALSE,8,32,1,0,143,235,85
14.1,8.5,39,male,TRUE,8,32,3,1,104,141,85
21.5,10,29,male,TRUE,8,33,2,0,113,215,100
21,7,22,male,FALSE,6,33,2,1,106,210,70
24.5,13.5,39,male,FALSE,8,34,2,1,94,245,135
25,13.5,42,male,FALSE,6,34,5,0,126,250,135
25.5,13.5,40,male,FALSE,7,34,5,0,135,255,135
21.5,7,0,male,TRUE,6,35,2,0,108,215,70
20.5,10,30,female,TRUE,4,35,4,1,117,205,100
20.5,10.5,30,female,TRUE,1,35,4,0,128,205,105
26.5,12,0,male,FALSE,7,36,2,0,115,265,120
22.5,7,0,male,FALSE,6,36,2,1,103,225,70
25,11.5,32,male,FALSE,5,36,2,0,143,250,115
26.5,10,34,male,TRUE,5,36,2,0,98,265,100
23.5,10.5,36,male,TRUE,7,37,2,0,90,235,105
23.5,10,32,male,TRUE,8,37,2,1,111,235,100
25,10,30,male,TRUE,6,38,2,0,115,250,100
23,8,34,male,TRUE,7,38,2,0,149,230,80
22,13.5,35,female,FALSE,4,38,2,0,159,220,135
14.5,8.5,35,male,TRUE,6,38,2,1,147,145,85
23,14.5,49,male,TRUE,6,38,3,0,133,230,145
15.5,10,0,male,TRUE,6,39,2,1,119,155,100
18.5,11.5,40,female,FALSE,3,39,2,0,84,185,115
16.5,10.5,40,male,TRUE,6,39,2,0,111,165,105
17.5,10,38,male,FALSE,6,39,2,0,139,175,100
15,7,32,male,TRUE,5,40,2,1,92,150,70
16.5,7.5,32,male,TRUE,5,40,2,0,112,165,75
8,1,32,male,TRUE,7,40,2,0,156,80,10
26,2.75,25,male,TRUE,7,40,2,0,129,260,27.5
25,11,19,male,TRUE,6,41,2,0,91,250,110
25,14.5,18,male,FALSE,7,41,2,0,137,250,145
24.5,14,18,male,TRUE,7,41,2,1,90,245,140
15.5,7.5,33,male,FALSE,8,42,2,1,91,155,75
15.5,6,0,male,TRUE,5,42,2,0,158,155,60
25,6,33,female,TRUE,4,43,2,0,133,250,60
20,6,0,male,FALSE,8,43,2,1,102,200,60
22,10.5,22,female,FALSE,3,43,2,0,126,220,105
24.5,7.5,22,male,FALSE,7,43,2,0,95,245,75
26,11,36,male,TRUE,6,44,2,0,83,260,110
17,6,35,female,TRUE,2,44,2,1,89,170,60
22,11,30,female,TRUE,4,45,2,1,84,220,110
7,4,30,male,TRUE,8,45,2,0,138,70,40
7,4.5,34,male,TRUE,6,45,5,0,155,70,45
26.5,8,29,female,TRUE,3,46,2,0,132,265,80
24,8.5,0,female,TRUE,4,46,2,1,103,240,85
26,8.5,29,male,FALSE,6,46,2,0,115,260,85
15,8.5,33,male,TRUE,5,47,3,1,84,150,85
15,9,0,male,FALSE,7,47,3,0,114,150,90
16.5,11,33,male,TRUE,8,47,3,0,85,165,110
25.5,8,43,male,FALSE,5,48,0,1,80,255,80
27,4.5,37,male,FALSE,6,49,5,0,116,270,45
19.5,3,35,male,TRUE,7,49,5,1,159,195,30
24,11.5,31,male,TRUE,5,49,5,0,131,240,115
24,11,27,female,FALSE,3,49,5,0,125,240,110
27,5.1,24,male,FALSE,7,49,5,0,109,270,51
17,12,0,male,FALSE,8,50,3,1,154,170,120
17.5,12,0,female,TRUE,2,50,3,0,155,175,120
18,12,28,male,TRUE,5,51,2,1,150,180,120
25,7,0,male,TRUE,5,51,2,0,118,250,70
