Type, x1, y1, x2, y2
Wall,0.0,18.12,2.41,18.12
Wall,14.73,2.92,14.73,0.0
Wall,14.73,0.0,13.56,0.0
Window,13.56,0.0,11.56,0.0
Wall,11.56,0.0,9.77,0.0
Window,9.77,0.0,7.78,0.0
Wall,7.78,0.0,6.19,0.0
Wall,6.19,0.0,6.19,3.87
Wall,0.0,18.12,0.0,12.82
Wall,0.0,12.82,0.76,12.82
Wall,0.0,12.82,0.0,10.31
Wall,0.0,10.31,2.41,10.31
Exit,14.73,0.0,16.86,0.0
Wall,30.56,4.89,30.56,0.0
Wall,30.56,0.0,27.88,0.0
Wall,27.88,0.0,27.88,3.94
Wall,27.88,0.0,26.57,0.0
Window,26.57,0.0,24.85,0.0
Wall,24.85,0.0,23.13,0.0
Window,23.13,0.0,21.47,0.0
Wall,21.47,0.0,19.82,0.0
Window,19.82,0.0,18.17,0.0
Wall,18.17,0.0,16.86,0.0
Wall,16.86,0.0,16.86,2.92
Wall,2.41,12.82,1.58,12.82
Wall,2.41,18.12,2.41,16.49
Wall,2.41,18.12,6.95,18.12
Wall,6.13,13.77,2.41,13.77
Wall,2.41,13.77,2.41,15.61
Wall,2.41,13.77,2.41,12.82
Wall,2.41,12.82,2.41,10.25
Wall,16.86,2.92,16.24,2.92
Wall,16.86,2.92,16.86,4.82
Wall,14.73,3.53,14.73,2.92
Exit,6.19,4.68,6.19,3.87
Wall,8.95,5.02,9.77,3.94
Wall,10.12,3.94,11.56,3.94
Wall,11.56,3.94,12.32,5.29
Wall,27.88,3.87,28.63,3.87
Wall,29.53,3.87,30.49,3.87
Wall,14.73,5.84,14.73,4.48
Wall,6.19,4.68,6.19,7.87
Wall,16.86,4.82,18.24,4.82
Wall,27.32,4.89,28.84,4.89
Exit,30.56,4.89,30.56,5.84
Wall,8.95,7.74,8.95,4.89
Wall,12.32,4.89,12.32,6.58
Wall,30.56,7.74,30.56,5.84
Wall,16.38,5.84,14.73,5.84
Wall,6.19,9.64,6.19,13.77
Wall,6.19,13.77,6.81,14.25
Exit,6.19,9.64,6.19,8.82
Wall,6.19,7.87,6.19,8.82
Wall,6.19,7.87,13.56,7.87
Wall,6.95,18.12,7.64,18.12
Wall,6.95,18.12,6.95,20.9
Wall,6.95,20.9,19.27,20.9
Wall,12.32,7.06,12.32,7.87
Wall,12.87,10.04,7.78,10.04
Wall,7.78,10.04,7.78,10.72
Wall,7.64,18.12,7.64,18.73
Wall,32.9,8.21,30.56,7.74
Wall,7.78,20.9,7.78,20.29
Wall,13.56,7.87,13.56,9.36
Wall,32.9,11.26,32.9,7.87
Wall,9.77,15.81,8.33,15.81
Wall,10.12,18.12,8.88,18.12
Wall,8.88,18.12,8.88,18.73
Wall,8.95,20.83,8.95,19.54
Wall,12.87,10.31,12.32,10.31
Wall,12.32,18.12,10.12,18.12
Wall,10.12,18.12,10.12,17.17
Wall,9.77,16.42,9.77,15.81
Wall,9.77,15.81,12.32,15.81
Wall,30.56,14.66,30.56,11.26
Wall,30.56,11.26,32.9,11.26
Wall,13.56,15.74,12.32,15.74
Wall,12.32,15.74,12.32,18.12
Wall,19.2,12.82,27.05,12.82
Wall,13.56,15.74,13.56,12.55
Wall,13.56,12.55,14.18,12.55
Wall,14.18,12.82,14.18,12.82
Wall,17.41,14.59,17.41,12.82
Wall,17.41,12.82,15.28,12.82
Wall,15.28,12.82,15.28,12.82
Wall,15.28,12.82,17.21,12.82
Wall,14.18,12.82,14.18,15.74
Wall,14.18,15.74,13.56,15.74
Wall,14.18,20.9,14.18,18.12
Wall,14.18,18.12,14.18,15.74
Wall,14.18,18.12,17.41,18.12
Wall,14.18,15.74,14.73,15.74
Wall,14.73,15.74,14.73,14.59
Wall,14.73,14.59,17.41,14.59
Wall,17.41,14.59,17.41,16.49
Wall,19.27,20.9,19.27,13.77
Wall,19.27,14.66,30.56,14.66
Wall,17.41,18.12,17.41,16.9
Wall,17.41,18.12,17.41,18.12
Wall,17.48,20.9,17.48,19.27
