x,y,time
22,14,24
24,12,82
24,14,15
30,4,40
25,1,100
25,13,16
18,20,130
27,1,93
23,3,225
33,10,3.85
29,8,27
28,3,51
30,10,2.1
23,13,25
26,15,8
28,2,67
30,2,45
18,17,130
27,12,11
18,16,155
26,12,79
30,11,3.75
30,4,39
19,17,125
24,15,14
27,7,77
26,3,120
30,9,1.75
27,15,6
32,11,3.55
28,4,43
27,4,84
27,12,1.4
25,14,13
18,14,170
25,4,170
29,6,35
22,13,26
30,7,30
25,2,105
27,8,75
30,9,1.1
24,13,19
26,1,95
29,1,65
24,2,200
30,3,44
26,5,130
29,5,36
32,11,3.45
19,16,120
21,12,240
24,1,110
23,1,125
29,12,4.15
28,8,29
31,9,3.35
27,13,9
30,5,34
28,6,37
27,10,19
32,9,3.75
27,5,81
26,13,12
25,3,165
22,2,180
30,9,0.05
19,1,190
33,9,4
23,14,22
28,1,70
30,11,1.55
26,4,125
30,13,2.7
26,7,140
27,14,7
23,12,83
19,2,200
31,10,3.25
30,9,3
30,11,3.5
21,15,21
26,10,135
26,14,10
21,2,185
29,7,31
30,6,33
30,12,0
18,15,160
21,13,88
27,12,2.75
29,2,60
25,12,80
29,12,4.5
27,9,28
30,12,0.75
18,3,220
33,11,3.95
25,1,115
27,11,17
30,3,42
27,2,91
27,11,2.25
20,15,23
30,8,25
30,1,57
27,12,0.5
27,3,90
19,13,235
27,6,78
29,3,49
27,12,0
18,1,210
28,5,38
20,14,86
23,15,16
22,15,18
30,9,2.5
30,2,47
22,12,89
25,15,11
20,3,230
28,7,32
22,1,145
21,1,170
21,14,26
30,1,54
29,4,41
