YCOORDINATE,XCOORDINATE
4,4
12,7
9,19
9,19
9,19
4,4
12,7
12,7
9,19
9,19
9,19
9,19
12,7
12,7
6,10
4,4
4,4
4,4
4,4
2,17
9,19
2,17
9,19
2,17
2,17
4,4
9,19
9,19
9,19
9,19
9,19
17,10
17,10
9,19
6,10
9,19
4,4
9,19
12,7
9,19
9,19
6,10
2,17
9,19
9,19
9,19
9,19
4,4
4,4
9,19
9,19
9,19
12,7
12,7
9,19
12,7
12,7
9,19
9,19
9,19
6,10
9,19
9,19
9,19
9,19
9,19
4,4
4,4
4,4
12,7
4,4
6,10
9,19
12,7
12,7
12,7
4,4
4,4
9,19
2,17
2,17
2,17
2,17
12,7
12,7
9,19
9,19
9,19
9,19
12,7
2,17
4,4
4,4
6,10
9,19
9,19
9,19
9,19
12,7
9,19
9,19
9,19
9,19
9,19
9,19
12,7
4,4
12,7
12,7
9,19
4,4
9,19
12,7
9,19
6,10
4,4
2,17
2,17
9,19
12,7
9,19
4,4
9,19
9,19
9,19
4,4
12,7
12,7
9,19
9,19
9,19
9,19
9,19
9,19
9,19
9,19
2,17
2,17
6,10
12,7
12,7
12,7
12,7
9,19
9,19
9,19
4,4
4,4
9,19
9,19
9,19
9,19
9,19
4,4
4,4
9,19
12,7
9,19
9,19
2,17
4,4
17,10
12,7
9,19
9,19
9,19
9,19
9,19
9,19
9,19
9,19
9,19
9,19
12,7
12,7
9,19
6,10
2,17
2,17
2,17
9,19
9,19
12,7
6,10
9,19
9,19
9,19
9,19
4,4
4,4
12,7
12,7
9,19
9,19
4,4
12,7
6,10
2,17
9,19
9,19
2,17
9,19
9,19
9,19
12,7
9,19
